起点,终点,车道数
93,171,2
95,171,2
173,172,1
57,172,3
234,172,3
175,173,1
274,173,1
172,173,1
59,173,1
9,174,5
10,174,5
57,175,2
58,175,2
173,175,1
19,176,3
318,176,2
180,177,1
252,177,1
56,177,2
57,177,2
67,178,1
66,178,1
68,179,2
65,179,1
20,180,3
177,180,1
19,180,3
285,181,4
34,181,4
291,182,4
283,182,1
36,182,4
86,183,1
165,183,1
212,184,1
89,184,2
78,184,2
76,185,3
77,185,3
85,186,1
187,186,1
6,186,1
186,187,1
85,187,1
76,187,1
6,188,5
309,188,3
313,189,2
14,189,3
217,189,1
240,190,4
14,190,4
13,191,3
91,191,3
199,192,2
194,192,1
24,192,1
106,192,2
194,193,1
204,193,1
199,193,1
105,194,1
193,194,1
195,194,1
192,194,1
104,195,1
204,195,1
254,195,1
194,195,1
241,196,1
197,196,1
81,196,2
196,197,1
156,197,1
197,198,1
256,198,1
192,199,2
255,199,2
193,199,1
201,200,3
96,200,3
258,201,3
200,201,3
258,202,2
203,202,2
158,203,1
202,203,2
195,204,1
103,204,2
205,204,1
193,204,1
204,205,1
207,205,1
206,205,1
254,205,1
12,206,3
103,206,3
205,206,1
205,207,1
304,207,5
12,207,3
249,208,1
214,208,1
248,208,1
210,209,1
109,209,1
248,209,1
209,210,1
211,210,1
108,210,1
210,211,1
221,211,1
8,211,1
107,211,1
259,212,1
184,212,1
153,212,1
158,213,2
29,213,1
215,213,1
208,214,1
158,214,1
215,214,1
213,215,1
214,215,1
8,215,2
75,216,3
223,216,1
217,216,1
110,216,2
189,217,1
244,217,1
222,217,2
216,217,1
228,218,1
75,218,1
74,218,1
228,219,1
75,219,1
243,219,1
8,220,3
7,220,4
221,220,1
211,221,1
28,221,1
167,221,1
220,221,1
13,222,1
110,222,1
216,223,1
111,223,1
74,223,1
245,223,1
226,224,1
225,224,1
17,225,3
18,225,4
224,225,1
60,226,3
224,226,1
58,226,2
230,227,2
237,227,1
236,227,2
229,228,1
2,228,1
219,228,1
218,228,1
1,229,3
74,229,2
228,229,1
50,230,2
227,230,2
72,231,3
239,231,1
251,231,1
72,232,2
239,232,1
71,232,2
242,233,1
240,233,1
172,234,3
252,234,2
44,234,1
274,234,2
21,235,1
56,235,2
227,236,2
59,236,3
274,236,2
227,237,1
45,237,2
246,237,2
63,238,1
239,238,1
62,238,2
232,239,1
238,239,1
231,239,1
190,240,4
15,240,4
266,241,1
196,241,1
257,241,2
15,242,1
290,242,2
233,242,1
15,243,4
219,243,1
4,243,4
14,244,3
250,244,3
217,244,1
223,245,1
73,245,4
112,245,4
274,246,1
44,246,2
237,246,2
54,247,2
278,247,2
286,247,2
209,248,1
8,248,4
307,248,3
208,248,1
9,249,2
96,249,2
