NAME,DEC,xs,ys,xe,ye,路段ID,sordernum,eordernum,路段长度,linktype,ramp,mylinktype,限速,speedadj,车道数,tflowmodel,上游路口ID,下游路口ID
船厂路,船厂路（龙华中路至中山南二路）,121.4551396,31.18791524,121.4541474,31.18981215,42,8825,8828,244.862,5,0,3,30,15,2,2,177,180
枫林路,枫林路（瑞宁路至龙腾路）,121.4585851,31.18636859,121.4589346,31.18325131,43,43,44,410.841,5,0,1,50,15,2,2,43,44
枫林路,枫林路（龙腾路至瑞宁路）,121.4589346,31.18325131,121.4585851,31.18636859,44,44,43,433.362,5,0,1,50,15,2,2,44,43
大木桥路,大木桥路（中山南二路至零陵路）,121.4604235,31.19392386,121.4591385,31.19605109,45,22,66,282.787,5,0,2,40,15,2,2,22,66
大木桥路,大木桥路（零陵路至中山南二路）,121.4591385,31.19605109,121.4604235,31.19392386,46,66,22,285.112,5,0,2,40,15,2,2,66,22
中山南二路,中山南二路（小木桥路至大木桥路）,121.4580764,31.19217923,121.4604235,31.19392386,47,21,22,335.981,5,0,1,50,15,2,2,21,22
中山南二路,中山南二路（大木桥路至小木桥路）,121.4604235,31.19392386,121.4580764,31.19217923,48,22,21,338.311,5,0,1,50,15,2,2,22,21
小木桥路,小木桥路（零陵路至中山南二路）,121.4563164,31.19497015,121.4580764,31.19217923,49,8827,21,385.25,5,0,3,30,15,2,2,179,21
瑞平路,瑞平路（凯滨路至宛平南路）,121.4519797,31.18415093,121.4497167,31.18240664,50,8821,59,324.033,5,0,3,30,15,2,2,173,59
瑞平路,瑞平路（宛平南路至凯滨路）,121.4497167,31.18240664,121.4519797,31.18415093,51,59,8821,324.575,5,0,3,30,15,2,2,59,173
凯滨路,凯滨路（瑞平路至龙华中路）,121.4519797,31.18415093,121.4500571,31.18540729,52,8821,8823,262.225,5,0,3,30,15,2,2,173,175
凯滨路,凯滨路（龙华中路至瑞平路）,121.4500571,31.18540729,121.4519797,31.18415093,53,8823,8821,261.498,5,0,3,30,15,2,2,175,173
东安路,东安路（瑞平路至龙华中路）,121.4542449,31.1858927,121.4528601,31.18701105,54,8820,57,201.255,5,0,2,40,15,2,2,172,57
东安路,东安路（龙华中路至瑞平路）,121.4528601,31.18701105,121.4542449,31.1858927,55,57,8820,208.596,5,0,2,40,15,2,2,57,172
枫林路,枫林路（龙华中路至瑞宁路）,121.4568243,31.18855769,121.4585851,31.18636859,56,56,43,321.93,5,0,2,40,15,2,2,56,43
枫林路,枫林路（瑞宁路至龙华中路）,121.4585851,31.18636859,121.4568243,31.18855769,57,43,56,317.37,5,0,2,40,15,2,2,43,56
宛平南路,宛平南路（瑞平路至龙华路）,121.4497167,31.18240664,121.4483486,31.18414617,58,59,58,257.531,5,0,1,50,15,2,2,59,58
宛平南路,宛平南路（龙华路至瑞平路）,121.4483486,31.18414617,121.4497167,31.18240664,59,58,59,250.071,5,0,1,50,15,2,2,58,59
吴中路,吴中路（古井路至桂林路）,121.4126821,31.18983104,121.4089245,31.1886318,60,8839,91,450.544,5,0,1,50,15,2,2,191,91
吴中路,吴中路（桂林路至古井路）,121.4089245,31.1886318,121.4126821,31.18983104,61,91,8839,448.138,5,0,1,50,15,2,2,91,191
吴中路,吴中路（古井路至中山西路）,121.4126821,31.18983104,121.4167424,31.1910874,62,8839,13,484.846,5,0,1,50,15,2,2,191,13
吴中路,吴中路（中山西路至古井路）,121.4167424,31.1910874,121.4126821,31.18983104,63,13,8839,482.469,5,0,1,50,15,2,2,13,191
钦州路,钦州路（宜山路至田川路）,121.4202003,31.18107939,121.4235353,31.17865043,64,76,8835,474.765,5,0,2,40,15,2,2,76,187
漕东支路,漕东支路（田东路至漕溪路）,121.4330075,31.17619293,121.4312338,31.18008334,65,86,5,708.532,5,0,3,30,15,2,2,86,5
凯旋南路,凯旋南路（龙吴路至漕溪路）,121.4401973,31.17259423,121.4312338,31.18008334,66,30,5,1381.134,5,0,3,30,15,2,2,30,5
田东路,田东路（龙田路至漕东支路）,121.4355278,31.17495085,121.4330075,31.17619293,67,8831,86,371.377,5,0,2,40,15,2,2,183,86
